nation,GHI_score,FSI_score,GDP_capita,curr_temp_change
Afghanistan,35.4,102.9,469.9190901,0.652
Albania,13.2,58.8,5303.197823,1.671
Algeria,8.7,74.6,3975.510381,1.943
Angola,32.6,87.3,2670.850732,1.057
Argentina,2.5,46.1,10041.4633,1.04
Armenia,11.2,64.2,4622.733216,1.898
Azerbaijan,10,71.3,4781.946215,1.968
Bangladesh,27.3,85.7,1846.416377,1.053
Belarus,2.5,65.8,6673.531291,3.518
Benin,21.8,72.5,1220.492825,1.141
Bolivia,16.9,75,3552.06876,1.667
Bosnia & Herzegovina,2.5,70.2,6108.558032,1.996
Botswana,23.1,57.1,7961.365304,0.82
Brazil,2.5,73,8755.271208,1.449
Bulgaria,8.5,49.2,9703.487814,2.176
Burkina Faso,31.8,85.9,786.8956136,1.123
Cambodia,22.6,80.3,1643.641451,1.436
Cameroon,24.2,97.9,1501.808291,1.045
Central African Republic,46.9,107.5,467.9072464,1.214
Chad,46.4,106.4,706.8258328,1.037
Chile,2.5,42.5,14896.45387,0.73
China,8.6,69.9,10003.555,1.703
Colombia,8.8,76.6,6432.387583,1.391
"Congo, Rep.",26.6,92.1,2304.126508,1.413
Costa Rica,2.5,40.2,12238.37505,1.458
Côte d'Ivoire,26.3,89.7,2276.340329,1.353
Croatia,2.5,46.1,14627.29471,2.111
Cuba,2.5,59.2,9295.901636,1.631
Djibouti,33.2,82.7,3252.320409,1.255
Dominican Republic,10.8,64.4,8282.123087,1.333
Ecuador,14,69.4,6183.823825,1.214
"Egypt, Arab Rep.",13.5,86,3161.324684,1.091
El Salvador,11.1,68.9,4187.250031,1.726
Estonia,2.5,38.5,23740.1638,3.596
Ethiopia,33.9,94.6,827.5443326,1.358
Fiji,8.7,69.9,6185.100338,1.178
Gabon,12.5,69.1,7773.19892,1.433
"Gambia, The",21.5,82.2,776.4444967,2.05
Georgia,8.5,71.2,4439.323978,1.923
Ghana,15.5,64.2,2202.629207,1.355
Guatemala,21.1,79.2,4363.138793,1.714
Guinea,28.8,97.2,967.3606842,1.683
Guinea-Bissau,30.3,92.9,688.3516153,2.2
Guyana,14.4,66,6609.587274,1.499
Haiti,37.3,97.7,714.830247,1.284
Honduras,13.4,76.8,2574.908102,1.853
India,29,75.3,2116.177386,0.461
Indonesia,22.1,67.8,4135.569274,1.259
"Iran, Islamic Rep.",6.8,83.4,7282.005946,1.36
Iraq,22.2,95.9,5729.677358,1.781
Jamaica,8.1,60,5369.49399,1.558
Jordan,5.8,75.4,4405.480596,1.569
Kazakhstan,8,59.8,9792.625928,2.854
Kenya,24,90.3,1816.523795,1.332
Kuwait,5,50.9,31999.27189,1.911
Kyrgyz Republic,9.4,73.9,1317.770772,1.392
Lao PDR,28.5,76.9,2625.387111,1.605
Latvia,2.5,42.3,17885.42744,3.513
Lebanon,6.4,84.7,7784.316857,1.711
Lesotho,23.5,78.3,1157.536027,0.667
Liberia,30.8,90,522.9991678,1.63
Lithuania,2.5,36.5,19795.21575,3.43
Macedonia(North),5.9,62.1,6093.14769,1.568
Madagascar,36.3,79.5,522.9895109,1.359
Malawi,27.3,84,434.772494,1.361
Malaysia,10.3,57.6,11414.29365,1.358
Mali,29.6,96,886.7942713,1.171
Mauritania,22.6,88.7,1677.917728,1.815
Mauritius,12.9,37.2,11168.6188,1.467
Mexico,7.3,67.2,9848.604353,1.571
Moldova,9.1,66.1,2956.883244,3.083
Mongolia,14.7,51.9,4295.235029,2.36
Montenegro,2.5,55.5,8825.344514,1.804
Morocco,9.5,71.2,3282.007597,2.172
Mozambique,32.5,91.7,503.745209,0.968
Myanmar,23.5,94,1420.740813,1.869
Namibia,31.8,65.1,4957.358577,0.609
Nepal,22.2,82.6,1073.621801,-0.02
Nicaragua,13.6,77.1,1912.899162,1.527
Niger,34.5,95.3,554.5799425,0.925
Nigeria,32.8,97.3,2361.206967,1.026
North Korea,28.8,90.2,639.5563899,2.022
Pakistan,33.9,92.1,1186.69208,0.383
Panama,9.6,46,15727.97039,1.376
Paraguay,10.5,65.2,5406.483416,1.558
Peru,9.1,67.6,6977.76782,1.502
Philippines,20.1,81,3323.767006,1.458
Romania,5.3,46.7,12914.1074,2.29
Russian Federation,6.6,72.6,11605.56639,3.699
Rwanda,30.3,86,820.0912107,0.694
Saudi Arabia,5.1,68.8,23139.80211,1.593
Senegal,23.2,74.6,1452.134664,1.803
Serbia,7.1,66.1,7359.348533,1.869
Sierra Leone,38.9,84.4,527.5336318,1.988
Slovak Republic,5.2,38.2,19255.89567,2.071
South Africa,12.4,70.1,6001.389576,0.867
Sri Lanka,25.5,81.8,3939.684198,1.296
Suriname,10.4,60.1,6359.634834,2.143
Swaziland(Eswatini),26,83,3894.68,0.273
Tajikistan,30.3,75.5,894.0129344,1.025
Tanzania,28.7,78.1,1122.12,1.175
Thailand,11.9,70.8,7784.73908,1.515
Timor-Leste,40.7,82.7,1560.50984,1.452
Togo,23,85.8,899.4907444,1.233
Trinidad & Tobago,8.3,51.9,16637.25981,1.066
Tunisia,5.6,68.1,3317.515276,1.948
Turkey,5.1,79.1,9126.562459,1.912
Turkmenistan,12.9,69.1,8124.494047,1.584
Uganda,27.6,92.8,736.6030867,0.934
Ukraine,2.5,69,3495.531163,3.032
Uruguay,5.7,33.4,16190.13844,1.109
Uzbekistan,13.3,73.1,1756.163496,1.67
"Venezuela, RB",7,91.2,4732.820093,1.184
Vietnam,14.7,63.9,2715.275874,1.506
"Yemen, Rep.",34.2,112.4,855.0668107,0.474
Zambia,41.1,84.5,1292.482076,1.304
Zimbabwe,30.8,99.2,1463.985913,0.82
